# iname	color	charname
(?)	#ffd800	Anne
simple table	#c1c1c1	Doray
white dye	#c5701c	Fiyere
black dye	#e4de85	Clarissa
purple dye	#002687	Hans
pink dye	#002687	
red dye	#4dc540	cunning cadet
green dye	#8d6300	fierce fighter
yellow dye	#6c5140	fearless footman
blue dye	#6c5140	timid trooper
strange something	#c4eb00	eager ensign
spaceship corner 8	#5b7016	stern soldier
spaceship corner capital	#5b7070	skilled swordsman
metal minecart 8	#77cfd0	raw recruit
small window	#72c3c9	
small window	#bc2222	wily warrior
ornamental spears	#c81c2e	fervid fencer
relaxation room	#1c70ad	
rope	#6c5140	
fancy bench	#2270ad	
deitree level 1	#96d216	fat rat
deitree level 2	#b62226	fat rat
deitree level 3	#425db6	bodkin archer
watchfire	#4d8755	bodkin archer
plain clothes	#ff70ad	bodkin archer
big cedar tree	#4dac35	townsperson
basic bridge	#2270ad	pet
irrigation station	#ac402a	farm animal
reinforced walls	#228d3d	
wheatgrass	#354993	bold barman
haystack	#6c5140	passionate publican
tainted tingleweed	#c0ff10	brawny brawler
oaken club	#ffffff	*
copper sword	#ffd010	*
iron broadsword	#ff8000	*
steel broadsword	#f38c0d	stout sort
aurora blade	#ff2e9a	flexing fellow
fire blade	#cf8700	burly blighter
sword of kings *	#000000	potent pitman
falcon blade *	#7e7e7e	buff bro
sword of ruin *	#fffbee	
cypress stick	#4d1600	gentle giant
stone sword	#970000	
erdrick's sword ***	#730080	
spaceship corner capital	#b1008a	
spaceship corner capital	#007800	
spaceship corner capital	#00ba00	
giant mallet	#fc9600	
sledgehammer	#e7d800	
war hammer	#000065	
spaceship corner capital	#0000b7	
ultimallet *	#feb976	
spaceship corner capital	#2ac2bf	
spaceship corner capital	#c8cbc7	
<<flame>>	#e2be2e	
<<smoke>>	#56a11c	
<<fog>>	#f02a2a	
stone axe	#2a78a9	
iron axe	#63b1dd	
battleaxe	#1c68dd	
spaceship corner capital	#78bda1	
spaceship corner midsection	#807822	
big silver birch tree	#803da5	
night club	#e05656	
colossal coffer	#b5220d	
(sewing station)	#b000c9	ambitious agrarian
superior pickled heatroot *	#35353b	gregarious granger
townperson's togs	#c92638	friendly farmhand
leather shield	#222222	capable cultivator
iron shield	#f3eede	
steel shield	#fbf3e4	
magic shield	#95b9d5	
silver shield *	#5fb1f2	
her's shield ***	#f2a9e7	
thantos shield *	#e969b9	
tainted tingleweed	#a1d988	manic miner
book	#5fdd56	great sabrecub
book	#a1cdbd	Test Songstress
book	#68d9b1	Hairy Hermit
book	#e7d380	
wayfarer's clothes	#f0f0f0	
training togs	#efefef	
cloak of evasion *	#f3eede	
chain mail	#c5350d	*
flowing dress *	#c92638	
plain clothes	#455fb7	Rendarak Cyclops
ragged rags	#ab2a2e	Rendarak Gigantes
plain clothes	#e4ca16	
book	#a20d1c	
book	#dd3840	
book	#bd3526	
book	#a22a2e	
leather armour	#b00d16	
iron armour	#ac1c2a	*
full plate armour	#d8384d	motivated man-at-arms
spiked armour	#ca3835	competent conscript
magic armour	#383b32	
auroral armour ***	#6c5140	
wailer's mail *	#6c5140	
scandalous swimsuit	#2270ad	brave battler
comfy cushion	#dc4726	helpful healer
comfy cushion	#ffdf22	merry medic
comfy cushion	#c57eaf	noble knight
comfy cushion	#a7c5c1	proud paladin
comfy cushion	#c1af95	
spaceship corner midsection	#ff6900	
spaceship corner midsection	#404547	
spaceship corner midsection	#fa738a	
spaceship corner midsection	#b51622	
spaceship corner midsection	#2285ae	
spaceship corner midsection	#fff5f5	Cat 2
spaceship corner midsection	#534d4d	Cat 3
spaceship corner foundation	#fa738a	Cat 4
spaceship corner foundation	#b51622	Cat 5
spaceship corner foundation	#efba38	Kitten 2
spaceship corner foundation	#38382a	Kitten 3
spaceship corner foundation	#ececec	Kitten 4
comfy cushion	#6e3238	Kitten 5
spaceship corner foundation	#87222e	Dog 2
spaceship corner foundation	#324226	Dog 3
spaceship corner foundation	#abd387	Dog 4
comfy cushion	#323d5f	Dog 5
comfy cushion	#8dc9d8	Puppy 2
stage curtain	#4d3249	Puppy 3
stage curtain	#b573bf	Puppy 4
stage curtain	#e2bf63	Puppy 5
gloves	#ffd268	
stage curtain	#e29c9a	
stage curtain	#e29890	cow
stage curtain	#ececd8	cow
stage curtain	#ececd8	cow
stage curtain	#000000	cow
air vent 8	#000000	cow
citadel battlement	#000000	cow
rightward joint pipe	#000000	cow
stone	#000000	
spaceship capital	#000000	*
spaceship capital	#000000	
wood	#000000	Dogchin
joint pipe 8	#000000	Ibuki
superior pumpkin soup *	#000000	Maygetz
cord	#000000	Dalbon
scrumtioser salad	#000000	Whitey
citadel belvedere	#000000	
rusty wrecking ball	#000000	
muddy water	#000000	cow
spaceship capital	#000000	cow
citadel spike	#000000	cow
small window	#000000	
citadel handrail 8	#000000	
cactus cutlet	#000000	
superior pumpkin pie *	#000000	
superior searing steak *	#000000	
glass	#000000	
citadel coping	#000000	
good gungerbread of immunity *	#000000	
coal	#000000	
copper	#000000	
iron	#000000	
heartier cream cake *	#000000	
better bouillabaisse *	#000000	
fine full moon gungerbread *	#000000	
copper ingot	#000000	
iron ingot	#000000	
steel ingot	#000000	
carpeted steps	#000000	
citadel capping	#000000	
beacon of erdrick **	#000000	
magnetic block	#000000	
spaceship capital	#000000	
silver brick	#000000	
sooty silver brick	#000000	cow
carpeted steps	#000000	cow
seeded spoiled soil	#000000	cow
seeded spoiled soil	#000000	cow
seeded spoiled soil	#000000	cow
seeded spoiled soil	#000000	cow
seeded spoiled soil	#000000	cow
(water emblem)	#000000	cow
(star emblem)	#000000	
(moon emblem)	#000000	
<<black hole>>	#000000	spectator
<<black hole>>	#000000	spectator
malrothium	#000000	spectator
rubber ring	#000000	spectator
vile vines	#000000	spectator
n04h's heart *	#000000	spectator
rubber ring	#000000	*
wilted wheat	#000000	*
prickly peach	#000000	*
corrupted cabbage	#000000	*
bilious chilli	#000000	part-time plougher
gold	#000000	intrepid townsperson
spoiled sugar cane	#000000	fanciful farmer
putrefied pumpkin	#000000	magnanimous merchant
carpeted steps	#000000	respectful resident
carpeted steps	#000000	slick shopkeeper
spaceship capital	#000000	delightful dweller
spaceship capital	#000000	dreamy dancer
carpeted steps	#000000	
spaceship capital	#000000	
spaceship capital	#000000	trusting townsperson
carpeted steps	#000000	
carpeted steps	#000000	
carpeted steps	#000000	
right-bordered carpeted steps	#000000	
cotton	#000000	
right-bordered carpeted steps	#000000	Marlon
right-bordered carpeted steps	#000000	Nero
right-bordered carpeted steps	#000000	
right-bordered carpeted steps	#000000	
right-bordered carpeted steps	#000000	
water	#000000	
right-bordered carpeted steps	#000000	Memo
right-bordered carpeted steps	#000000	Bebiba
spaceship foundation	#000000	
spaceship foundation	#000000	
left-bordered carpeted steps	#000000	
left-bordered carpeted steps	#000000	*
left-bordered carpeted steps	#000000	
left-bordered carpeted steps	#000000	
lemontail	#000000	
salmon	#000000	
tuna	#000000	
left-bordered carpeted steps	#000000	*
left-bordered carpeted steps	#000000	
left-bordered carpeted steps	#000000	
left-bordered carpeted steps	#000000	
spaceship foundation	#000000	
deckchair	#000000	gremlin
deckchair	#000000	deadnaut
spaceship foundation	#000000	gremlin
deckchair	#000000	
deckchair	#000000	caretaker
deckchair	#000000	badboon
deckchair	#000000	badboon
rubber ring	#000000	deadnaut
tainted tomato	#000000	*
orichalcum *	#000000	*
deckchair	#000000	*
deckchair	#000000	*
hollyhock seed	#000000	
holyhock	#000000	Arisplotle
sunbrella	#000000	N04H
sunbrella	#000000	Griswold
sunbrella	#000000	chasmonaut
sunbrella	#000000	chasmonaut
sunbrella	#000000	Hellen
sunbrella	#000000	Zebadee
tainted tomato	#000000	Gremville
spaceship foundation	#000000	Grimlin D
sunbrella	#000000	Grimlin A
mythril *	#000000	Grimlin B
spaceship foundation	#000000	Grimlin C
sunbrella	#000000	Captain Whitebones
connecting couch	#000000	Slime A
connecting couch 8	#000000	Slime B
connecting couch 8	#000000	Drackson
rubber ring	#000000	Silvapithecus A
connecting couch 8	#000000	badboon
connecting couch 8	#000000	hood
spaceship foundation	#000000	rockbomb
book of blue prints	#000000	Silvapithecus B
spaceship foundation	#000000	Adamn
corn on the cob	#000000	Gargoyle A
connecting couch 8	#000000	
connecting couch 8	#000000	
connecting couch 8	#000000	
connecting couch midsection	#000000	
plain clothes	#000000	
plain clothes	#000000	
plain clothes	#000000	Hargon
multibuilder mode blueprint	#000000	Malroth
multibuilder mode blueprint	#000000	
multibuilder mode blueprint	#000000	
multibuilder mode blueprint	#000000	
connecting couch midsection	#000000	
connecting couch midsection	#000000	
rubber ring	#000000	
rubber ring	#000000	
red snapper	#000000	
squid	#000000	
hollyhock	#000000	
hot water	#000000	
connecting couch midsection	#000000	
carpenter's workstation	#000000	
connecting couch midsection	#000000	
manky meat	#000000	
connecting couch midsection	#000000	
connecting couch midsection	#000000	
connecting couch midsection	#000000	
connecting couch	#000000	
connecting couch	#000000	
connecting couch	#000000	
connecting couch	#000000	
carpeted steps midsection	#000000	
medicinal leaf	#000000	
connecting couch	#000000	
connecting couch	#000000	
historic hairband	#000000	
builder's bell ***	#000000	
(blueprint - ark)	#000000	
builder's soul *	#000000	
connecting couch	#000000	
connecting couch	#000000	
right-armed couch	#000000	
brazier	#000000	
gold ingot	#000000	
zenithium *	#000000	Slime C
ruby *	#000000	Slime D
right-armed couch	#000000	Grimlin E
pyramid level 1	#000000	Gargoyle D
pyramid level 2	#000000	badboon
pyramid level 3	#000000	chasmonaut
small window	#000000	mean spirit
silver	#000000	
odorous aubergette	#000000	
odorous aubergette	#000000	
unhealthy heatroot	#000000	
rotten rice	#000000	
plain clothes	#000000	
ice lolly	#000000	
builder's castle level 1	#000000	
forbidden altar	#000000	
mod rod *	#000000	
jack-o'-lantern	#000000	
right-armed couch	#000000	
ark understructure	#000000	
woody goody	#000000	
kazapple cannon	#000000	
right-armed couch	#000000	
sanguine sand	#000000	
sanguine sandstone	#000000	
sanguine sandy sandstone	#000000	
sanguine cinders	#000000	
supersized skull	#000000	
right-armed couch	#000000	
great sabrecat statue *	#000000	
knight abhorrent statue *	#000000	
right-armed couch	#000000	
manky milkblossom	#000000	
right-armed couch	#000000	
right-armed couch	#000000	
carpeted steps midsection	#000000	
pancakes	#000000	
gungerbread	#000000	
couch corner	#000000	
ghost statue *	#000000	
couch corner	#000000	
couch corner	#000000	
couch corner	#000000	
stained-glass window arch	#000000	
stained-glass window 8	#000000	
stauned-glass window sill	#000000	
titanic top teeth	#000000	
vault bracket	#000000	
mini medal *	#000000	
liquid metal soup *	#000000	
humongous horn	#000000	
carpeted steps midsection	#000000	
merman model *	#000000	
metal king slime's crown *	#000000	
(carving)	#000000	
superior shrooms-on-a-stick *	#000000	
spectacular shrooms-on-a-stick **	#000000	
orb of power *	#000000	
terrible talon	#000000	
siltstone	#000000	
pocus poppet statue *	#000000	Fake Machine 1
goodybag statue *	#000000	Fake Machine 2
silver birch seedling	#000000	doughty defender
silver birch sapling	#000000	gallant guardian
siltstone column capital	#000000	
siltstone column	#000000	
siltstone column pedestal	#000000	
pixilated protagonist	#000000	
pixilated prince	#000000	
pixilated princess	#000000	
golden brazier	#000000	batmandrill
builder's castle level 2	#000000	cosmic chimaera
big bad bottom teeth	#000000	archdemon
burning rock	#000000	Air Force Soldier 1
carpeted steps midsection	#000000	Air Force Soldier 2
viewing dome	#000000	Transformed Hargonaut
red-brick wall	#000000	Transformed Skeleton Soldier 1
flurry feather *	#000000	Transformed Skeleton Soldier 2
windbraker	#000000	Ice Tower Gremlin
diamond *	#000000	Warwick
decomposing daffodaisy	#000000	ghost
carpeted steps midsection	#000000	Fake Rendarak King
lamb chop	#000000	wrecktor
builder's castle level 3	#000000	Wrecktor's Retainer 1
<<storage sack>>	#000000	Wrecktor's Retainer 2
cheese	#000000	Wrecktor's Retainer 3
cheeseburger	#000000	Wrecktor's Retainer 4
malroth's club *	#000000	Wrecktor's Retainer 5
banner of erdrick	#000000	Wrecktor's Retainer 6
enormous eyeball	#000000	Wrecktor's Retainer 7
(?)	#000000	wounded Moonahan soldier
magnetite vein	#000000	Gerome
magnetite	#000000	Rendarak Dog
holyhock	#000000	Rendarak Item Shop
bustling streets'	#000000	Rendarak Inn
water of life ***	#000000	Rendarak Guard
<<?>>	#000000	Rendarak Red-Clothed Male
beef	#000000	Rendarak Female
sluice gate	#000000	Rendarak 1st Floor Soldier
smashing sign	#000000	Mariella
worn-out workbench	#000000	Rendarak 2nd Floor Soldier
stone handrail 8	#000000	Rendarak Throne Room Right
wooden handrail 8	#000000	Rendarak Throne Room Left
woodless timbered wall	#000000	Rendarak Merchant
banded timbered wall	#000000	Rendarak Teleportal Gramps
carpeted steps midsection	#000000	Rendarak Nun
carpeted steps midsection	#000000	Rendarak Bell Seller
sideways-pointing puller	#000000	Rendarak Church Nun
upwards-pointing puller	#000000	Rendarak Treasure Soldier
downwards-pointing puller	#000000	Rendarak Treasure Female
cottontail costume	#000000	Rendarak Underground Soldier
big palm tree	#000000	Atlas
lift	#000000	Hargonaut 1
upgraded garage	#000000	Hargonaut 2
basic buggy	#000000	Hargonaut 3
holyhock	#000000	Hargonaut 4
freakish fin	#000000	Hargonaut 5
cactail	#000000	Hargonaut 6
plank pathway	#000000	Hargonaut 7
twisting tail	#000000	Hargonaut 8
stepping stones	#000000	Hargonaut 9
corner stones	#000000	Hargonaut 10
leaves	#000000	Hargon
stationary statue *	#000000	Moonahan Enemy 1
berserker statue *	#000000	Moonahan Enemy 2
couch corner	#000000	Moonahan Enemy 3
lush leaves	#000000	Invisible Esther
couch corner	#000000	
fur	#000000	
meat	#000000	
couch corner	#000000	
carpeted steps midsection	#000000	
pretty paddle	#000000	
couch corner	#000000	
ornate adornment	#000000	
celebratory soup	#000000	
lattice wall	#000000	
hanging picture	#000000	
unhealthy holyhock	#000000	
<<black hole>>	#000000	
awning	#000000	
<<black hole>>	#000000	
awning	#000000	
silvery sludge *	#000000	
awning	#000000	
awning	#000000	
awning	#000000	
awning	#000000	
awning	#000000	
awning	#000000	
banded timbered wall	#000000	
banded timbered wall	#000000	
banded timbered wall	#000000	
banded timbered wall	#000000	gigantes
picture frame	#000000	Healix
picture frame	#000000	fat rat
picture frame	#000000	
banded timbered wall	#000000	
banded timbered wall	#000000	
picture frame	#000000	Dragon Force Leader
banded timbered wall	#000000	Dragon Force Dragon 1
banded timbered wall	#000000	Dragon Force Dragon 2
picture frame	#000000	Dragon Force Axesaurus
yggdrasil dew *	#000000	Dragon Force Tyrantosaurus
rockbomb shard	#000000	Dragon Force Dragon 3
snowman	#000000	Dragon Force Dragon 4
picture frame	#000000	Dragon Force Axesaurus 2
unhealthy holyhock	#000000	Dragon Force Tyrantosaurus 2
porched window	#000000	
porched window	#000000	Poison Swap Casualty 1
porched window	#000000	Poison Swap Casualty 2
picture frame	#000000	Poison Swap Casualty 3
rice dumpling arrangement	#000000	Poison Swap Casualty 4
crab claw	#000000	Poison Swap Casualty 5
picture frame	#000000	Atlas
pet bowl	#000000	Malroth
bunting	#000000	cosmic chimaera
porched window	#000000	Abandoned Machine
porched window	#000000	Hairy Hermit
bunting	#000000	Black Hood
bunting	#000000	Attacking Arm (Ship)
porched window	#000000	Dummy PC
porched window	#000000	Shadow Fiend 1
builder's workbench	#000000	Shadow Fiend 2
builder's workbench	#000000	Shadow Fiend 3
builder's workbench	#000000	Shadow Fiend 4
wooden workbench	#000000	Gargoyle B
stone workbench	#000000	Grimlin F
iron workbench	#000000	Gargoyle C
wizard's workbench	#000000	Arm of Destruction
porched window	#000000	crafting station
arched window	#000000	Hairy Hermit
bunting	#000000	
(shallow water)	#000000	
(shallow hot water)	#000000	
(shallow poison)	#000000	
(shallow lava)	#000000	
(shallow bottomless swamp)	#000000	
(shallow plasma)	#000000	
(shallow muddy water)	#000000	
bunting	#000000	
bunting	#000000	
bunting	#000000	
bunting	#000000	
wall hanging	#000000	
wall hanging	#000000	
wall hanging	#000000	
arched window	#000000	
arched window	#000000	
arched window	#000000	
arched window	#000000	
wall hanging	#000000	
wall hanging	#000000	
(block)	#000000	
(block)	#000000	
(block)	#000000	
(block)	#000000	
(block)	#000000	
(block)	#000000	
(block)	#000000	
(?)	#000000	
(?)	#000000	
(?)	#000000	
(?)	#ecebea	
cabbage	#9c948f	
cabbage	#786958	
cabbage	#584d45	
cabbage	#c5a080	
red cabbage *	#b08053	
wheat	#865f3b	
tomato	#694200	she-slime
tomato	#e8e2b9	brownie
tomato	#d8ce88	hocus chimaera
tomato	#e7c46e	cosmic chimaera
tomato	#b5a13d	hunter mech
leek	#dadcc5	corpse corporal
leek	#bfc39d	ghoul
wheat	#a6ac75	stone golem
leek	#5f6338	gold golem
butterbeans	#ccdcc5	bloody hand
butterbeans	#a8c39d	stone guardian
butterbeans	#83ab75	
butterbeans	#426342	
pumpkin	#a1fae7	
pumpkin	#78d3b5	
pumpkin	#22978d	
pumpkin	#005858	
pumpkin	#bfd8fa	
plumpkin *	#82b5e7	
heatroot	#2e63bf	
heatroot	#224278	
heatroot	#c5c5dc	
heatroot	#9d9dc3	
white-hot heatroot *	#7575ab	
sugar cane	#494278	
sugar cane	#dcc5dc	
golden padlock	#c39dc3	
sugar cane	#ab75ab	
melon	#784978	
melon	#e4bcbc	
melon	#d18f8f	
melon	#bf6060	
melon	#ce535f	
sunny-hued melon *	#ffa682	
aubergette	#f58763	
aubergette	#c9634d	
aubergette	#973832	
aubergette	#fab06e	guard
aubergette	#e78d42	guard
aubergette	#bf5822	guard
rice	#823816	guard
rice	#ecebea	guard
rice	#9c948f	
buckwheat	#786958	
buckwheat	#584d45	
buckwheat	#c5a080	
buckwheat	#b08053	
chilli pepper	#865f3b	
chilli pepper	#694200	
chilli pepper	#e8e2b9	
chilli pepper	#d8ce88	
red-hot chili pepper *	#e7c46e	
potato	#b5a13d	
potato	#dadcc5	
coffee beans	#bfc39d	
coffee beans	#a6ac75	
coffee beans	#5f6338	
coffee beans	#ccdcc5	
coffee beans	#a8c39d	
sweetcorn	#83ab75	
